date,store_id,product_id,price,promotion,demand
2024-01-01,Store_1,Product_A,39.28,1,85
2024-01-01,Store_2,Product_A,23.35,0,95
2024-01-01,Store_3,Product_A,12.26,0,44
2024-01-01,Store_1,Product_B,17.34,0,21
2024-01-01,Store_2,Product_B,10.28,0,95
2024-01-01,Store_3,Product_B,48.95,0,59
2024-01-01,Store_1,Product_C,41.41,0,34
2024-01-01,Store_2,Product_C,44.4,0,76
2024-01-01,Store_3,Product_C,12.6,0,23
2024-01-01,Store_1,Product_D,19.64,0,76
2024-01-01,Store_2,Product_D,29.81,0,83
2024-01-01,Store_3,Product_D,18.32,0,15
2024-01-02,Store_1,Product_A,48.78,0,24
2024-01-02,Store_2,Product_A,32.82,0,71
2024-01-02,Store_3,Product_A,25.55,0,85
2024-01-02,Store_1,Product_B,34.28,1,62
2024-01-02,Store_2,Product_B,16.61,0,60
2024-01-02,Store_3,Product_B,10.22,0,18
2024-01-02,Store_1,Product_C,38.45,0,32
2024-01-02,Store_2,Product_C,44.0,1,86
2024-01-02,Store_3,Product_C,12.54,0,25
2024-01-02,Store_1,Product_D,45.49,0,57
2024-01-02,Store_2,Product_D,48.87,0,86
2024-01-02,Store_3,Product_D,30.91,0,37
2024-01-03,Store_1,Product_A,27.57,0,35
2024-01-03,Store_2,Product_A,37.82,0,70
2024-01-03,Store_3,Product_A,31.59,0,50
2024-01-03,Store_1,Product_B,42.32,1,71
2024-01-03,Store_2,Product_B,28.26,0,74
2024-01-03,Store_3,Product_B,42.3,0,74
2024-01-03,Store_1,Product_C,19.12,0,87
2024-01-03,Store_2,Product_C,30.43,0,21
2024-01-03,Store_3,Product_C,37.7,0,23
2024-01-03,Store_1,Product_D,30.75,0,74
2024-01-03,Store_2,Product_D,48.87,0,61
2024-01-03,Store_3,Product_D,34.38,0,75
2024-01-04,Store_1,Product_A,11.32,0,27
2024-01-04,Store_2,Product_A,27.91,0,14
2024-01-04,Store_3,Product_A,36.89,0,85
2024-01-04,Store_1,Product_B,35.29,0,61
2024-01-04,Store_2,Product_B,42.66,0,87
2024-01-04,Store_3,Product_B,11.63,0,80
2024-01-04,Store_1,Product_C,18.81,0,44
2024-01-04,Store_2,Product_C,16.97,0,42
2024-01-04,Store_3,Product_C,30.71,0,55
2024-01-04,Store_1,Product_D,46.99,0,81
2024-01-04,Store_2,Product_D,36.4,0,62
2024-01-04,Store_3,Product_D,49.85,0,86
2024-01-05,Store_1,Product_A,45.31,0,28
2024-01-05,Store_2,Product_A,45.88,0,34
2024-01-05,Store_3,Product_A,45.51,0,47
2024-01-05,Store_1,Product_B,16.43,0,50
2024-01-05,Store_2,Product_B,36.08,0,89
2024-01-05,Store_3,Product_B,17.15,0,48
2024-01-05,Store_1,Product_C,36.3,1,43
2024-01-05,Store_2,Product_C,48.92,0,42
2024-01-05,Store_3,Product_C,35.25,1,90
2024-01-05,Store_1,Product_D,44.57,0,55
2024-01-05,Store_2,Product_D,32.88,0,80
2024-01-05,Store_3,Product_D,24.81,1,86
2024-01-06,Store_1,Product_A,27.13,1,74
2024-01-06,Store_2,Product_A,22.68,1,75
2024-01-06,Store_3,Product_A,47.45,0,41
2024-01-06,Store_1,Product_B,36.85,0,52
2024-01-06,Store_2,Product_B,30.73,0,44
2024-01-06,Store_3,Product_B,38.36,0,55
2024-01-06,Store_1,Product_C,42.37,0,60
2024-01-06,Store_2,Product_C,10.21,0,34
2024-01-06,Store_3,Product_C,36.0,0,60
2024-01-06,Store_1,Product_D,11.1,1,119
2024-01-06,Store_2,Product_D,36.88,0,81
2024-01-06,Store_3,Product_D,33.63,0,79
2024-01-07,Store_1,Product_A,42.9,0,64
2024-01-07,Store_2,Product_A,18.63,0,26
2024-01-07,Store_3,Product_A,43.68,0,23
2024-01-07,Store_1,Product_B,15.31,0,68
2024-01-07,Store_2,Product_B,25.95,0,58
2024-01-07,Store_3,Product_B,37.84,1,100
2024-01-07,Store_1,Product_C,16.26,0,22
2024-01-07,Store_2,Product_C,47.38,0,60
2024-01-07,Store_3,Product_C,39.52,1,51
2024-01-07,Store_1,Product_D,24.24,0,92
2024-01-07,Store_2,Product_D,13.67,0,75
2024-01-07,Store_3,Product_D,28.97,0,79
2024-01-08,Store_1,Product_A,23.85,1,98
2024-01-08,Store_2,Product_A,45.47,1,47
2024-01-08,Store_3,Product_A,35.03,0,78
2024-01-08,Store_1,Product_B,34.63,0,89
2024-01-08,Store_2,Product_B,11.06,0,103
2024-01-08,Store_3,Product_B,32.93,0,45
2024-01-08,Store_1,Product_C,31.82,0,52
2024-01-08,Store_2,Product_C,18.27,0,56
2024-01-08,Store_3,Product_C,14.03,0,46
2024-01-08,Store_1,Product_D,37.26,0,29
2024-01-08,Store_2,Product_D,29.84,0,49
2024-01-08,Store_3,Product_D,39.4,1,122
2024-01-09,Store_1,Product_A,31.92,1,69
2024-01-09,Store_2,Product_A,15.11,0,60
2024-01-09,Store_3,Product_A,32.47,1,68
2024-01-09,Store_1,Product_B,14.12,0,37
2024-01-09,Store_2,Product_B,29.86,0,29
2024-01-09,Store_3,Product_B,10.43,0,35
2024-01-09,Store_1,Product_C,22.77,0,49
2024-01-09,Store_2,Product_C,23.15,0,94
2024-01-09,Store_3,Product_C,41.58,0,73
2024-01-09,Store_1,Product_D,12.23,1,75
2024-01-09,Store_2,Product_D,24.04,1,78
2024-01-09,Store_3,Product_D,18.9,0,34
2024-01-10,Store_1,Product_A,38.25,1,55
2024-01-10,Store_2,Product_A,40.14,1,109
2024-01-10,Store_3,Product_A,29.27,0,98
2024-01-10,Store_1,Product_B,14.45,1,110
2024-01-10,Store_2,Product_B,26.21,0,95
2024-01-10,Store_3,Product_B,35.97,0,95
2024-01-10,Store_1,Product_C,19.5,0,18
2024-01-10,Store_2,Product_C,18.94,1,53
2024-01-10,Store_3,Product_C,49.12,1,37
2024-01-10,Store_1,Product_D,49.72,0,103
2024-01-10,Store_2,Product_D,48.77,0,68
2024-01-10,Store_3,Product_D,49.83,0,36
2024-01-11,Store_1,Product_A,46.05,0,85
2024-01-11,Store_2,Product_A,35.87,0,24
2024-01-11,Store_3,Product_A,33.35,0,19
2024-01-11,Store_1,Product_B,16.5,0,99
2024-01-11,Store_2,Product_B,47.62,0,75
2024-01-11,Store_3,Product_B,47.31,0,37
2024-01-11,Store_1,Product_C,25.06,0,27
2024-01-11,Store_2,Product_C,43.17,0,78
2024-01-11,Store_3,Product_C,28.75,1,81
2024-01-11,Store_1,Product_D,42.52,1,92
2024-01-11,Store_2,Product_D,32.22,1,43
2024-01-11,Store_3,Product_D,20.06,0,101
2024-01-12,Store_1,Product_A,19.15,0,71
2024-01-12,Store_2,Product_A,29.93,0,100
2024-01-12,Store_3,Product_A,30.81,0,75
2024-01-12,Store_1,Product_B,41.67,0,31
2024-01-12,Store_2,Product_B,11.15,0,41
2024-01-12,Store_3,Product_B,46.13,1,113
2024-01-12,Store_1,Product_C,24.02,0,76
2024-01-12,Store_2,Product_C,23.93,1,99
2024-01-12,Store_3,Product_C,46.42,0,60
2024-01-12,Store_1,Product_D,28.37,0,16
2024-01-12,Store_2,Product_D,20.33,0,39
2024-01-12,Store_3,Product_D,18.37,0,73
2024-01-13,Store_1,Product_A,13.03,0,58
2024-01-13,Store_2,Product_A,44.97,0,79
2024-01-13,Store_3,Product_A,16.89,0,45
2024-01-13,Store_1,Product_B,31.95,0,78
2024-01-13,Store_2,Product_B,18.25,0,26
2024-01-13,Store_3,Product_B,13.69,0,54
2024-01-13,Store_1,Product_C,13.27,0,67
2024-01-13,Store_2,Product_C,33.89,0,21
2024-01-13,Store_3,Product_C,24.82,0,85
2024-01-13,Store_1,Product_D,39.9,0,97
2024-01-13,Store_2,Product_D,15.32,0,39
2024-01-13,Store_3,Product_D,31.3,0,41
2024-01-14,Store_1,Product_A,39.5,0,37
2024-01-14,Store_2,Product_A,23.1,0,31
2024-01-14,Store_3,Product_A,23.72,0,54
2024-01-14,Store_1,Product_B,31.48,0,37
2024-01-14,Store_2,Product_B,33.46,0,45
2024-01-14,Store_3,Product_B,34.3,1,52
2024-01-14,Store_1,Product_C,49.46,0,73
2024-01-14,Store_2,Product_C,24.61,0,46
2024-01-14,Store_3,Product_C,13.52,1,49
2024-01-14,Store_1,Product_D,20.32,1,121
2024-01-14,Store_2,Product_D,38.74,1,83
2024-01-14,Store_3,Product_D,17.48,0,79
2024-01-15,Store_1,Product_A,30.3,0,87
2024-01-15,Store_2,Product_A,33.25,0,34
2024-01-15,Store_3,Product_A,22.83,1,43
2024-01-15,Store_1,Product_B,31.96,0,37
