Store ID,Product ID,avg_daily_demand,demand_std,forecast_error_std,safety_stock_naive,safety_stock_model,avg_inventory_naive,avg_inventory_model,service_naive,service_model,inventory_reduction_%
S001,P0001,92.47,35.46,6.13,154.3,26.7,478.0,350.3,0.901,0.913,26.7
S001,P0002,123.52,45.2,6.46,196.7,28.1,629.0,460.4,0.913,0.992,26.8
S001,P0003,122.66,43.37,7.23,188.7,31.5,618.0,460.8,0.906,0.901,25.4
S001,P0004,93.36,38.79,4.13,168.8,18.0,495.6,344.8,0.872,0.977,30.4
S001,P0005,120.33,47.25,7.01,205.6,30.5,626.8,451.7,0.862,0.96,27.9
S001,P0006,91.39,46.35,5.03,201.7,21.9,521.6,341.8,0.838,0.972,34.5
S001,P0007,120.62,48.59,7.59,211.4,33.0,633.6,455.2,0.884,0.925,28.2
S001,P0008,93.08,38.33,7.52,166.8,32.7,492.6,358.5,0.878,0.917,27.2
S001,P0009,121.4,44.4,6.4,193.2,27.9,618.1,452.8,0.89,0.957,26.7
S001,P0010,72.62,31.72,3.3,138.0,14.4,392.2,268.5,0.849,0.982,31.5
S001,P0011,73.68,33.31,4.38,145.0,19.1,402.9,277.0,0.855,0.956,31.2
S001,P0012,120.24,48.74,5.28,212.1,23.0,632.9,443.8,0.872,0.983,29.9
S001,P0013,92.42,47.4,6.73,206.3,29.3,529.7,352.7,0.854,0.972,33.4
S001,P0014,117.63,48.44,4.55,210.8,19.8,622.5,431.5,0.863,0.95,30.7
S001,P0015,90.83,46.77,6.24,203.5,27.2,521.4,345.1,0.855,0.932,33.8
S001,P0016,122.16,50.6,7.42,220.2,32.3,647.8,459.9,0.873,0.936,29.0
S001,P0017,94.17,47.59,7.5,207.1,32.7,536.7,362.3,0.873,0.93,32.5
S001,P0018,121.48,49.96,6.27,217.4,27.3,642.6,452.4,0.867,0.982,29.6
S001,P0019,73.27,32.9,4.27,143.2,18.6,399.6,275.0,0.885,0.899,31.2
S001,P0020,72.81,32.03,3.52,139.4,15.3,394.2,270.2,0.872,0.91,31.5
S002,P0001,120.69,46.27,6.03,201.4,26.2,623.8,448.7,0.872,0.968,28.1
S002,P0002,93.56,46.89,6.04,204.1,26.3,531.5,353.7,0.845,0.965,33.5
S002,P0003,118.59,45.52,5.79,198.1,25.2,613.2,440.3,0.84,0.978,28.2
S002,P0004,118.87,48.52,11.64,211.2,50.6,627.2,466.7,0.862,0.95,25.6
S002,P0005,96.49,40.45,5.49,176.0,23.9,513.8,361.6,0.912,0.979,29.6
S002,P0006,108.5,39.03,5.75,169.8,25.0,549.6,404.8,0.899,0.954,26.3
S002,P0007,91.25,46.72,5.9,203.3,25.7,522.7,345.1,0.855,0.957,34.0
S002,P0008,121.42,48.66,8.1,211.8,35.2,636.7,460.2,0.896,0.963,27.7
S002,P0009,120.72,49.75,6.94,216.5,30.2,639.0,452.7,0.865,0.902,29.2
S002,P0010,122.21,49.57,6.11,215.7,26.6,643.5,454.3,0.891,0.996,29.4
S002,P0011,118.81,48.12,5.16,209.4,22.4,625.2,438.3,0.869,0.99,29.9
S002,P0012,92.66,37.49,7.39,163.2,32.2,487.5,356.5,0.896,0.887,26.9
S002,P0013,122.87,50.54,7.25,219.9,31.6,650.0,461.6,0.848,0.931,29.0
S002,P0014,92.6,37.53,3.46,163.3,15.0,487.4,339.2,0.863,0.961,30.4
S002,P0015,106.58,38.97,4.72,169.6,20.5,542.6,393.6,0.892,0.979,27.5
S002,P0016,107.63,38.33,5.19,166.8,22.6,543.5,399.3,0.887,0.96,26.5
S002,P0017,92.48,46.02,6.03,200.3,26.2,523.9,349.9,0.859,0.87,33.2
S002,P0018,105.62,37.09,7.24,161.4,31.5,531.1,401.1,0.93,0.963,24.5
S002,P0019,108.85,38.68,5.53,168.3,24.1,549.3,405.1,0.913,0.964,26.3
S002,P0020,72.71,31.91,3.24,138.9,14.1,393.3,268.6,0.876,0.983,31.7
S003,P0001,90.75,43.83,5.74,190.8,25.0,508.4,342.6,0.858,0.949,32.6
S003,P0002,122.98,49.4,9.93,215.0,43.2,645.4,473.7,0.874,0.988,26.6
S003,P0003,109.32,46.21,7.37,201.1,32.1,583.7,414.7,0.901,0.949,29.0
S003,P0004,120.44,47.79,8.72,208.0,37.9,629.5,459.5,0.845,0.924,27.0
S003,P0005,91.22,46.49,5.98,202.3,26.0,521.6,345.3,0.863,0.948,33.8
S003,P0006,92.85,47.72,5.05,207.7,22.0,532.6,347.0,0.852,0.945,34.8
S003,P0007,121.49,46.28,7.56,201.4,32.9,626.7,458.1,0.87,0.89,26.9
S003,P0008,108.85,38.48,5.13,167.5,22.3,548.5,403.3,0.912,0.983,26.5
S003,P0009,121.24,47.23,6.73,205.5,29.3,629.9,453.6,0.895,0.874,28.0
S003,P0010,121.03,47.74,15.3,207.8,66.6,631.4,490.2,0.903,0.942,22.4
S003,P0011,106.38,42.63,6.12,185.5,26.7,557.9,399.0,0.89,0.988,28.5
S003,P0012,73.65,31.94,3.93,139.0,17.1,396.8,274.9,0.867,0.892,30.7
S003,P0013,121.46,48.95,7.53,213.0,32.8,638.1,457.9,0.883,0.994,28.2
S003,P0014,119.21,45.7,4.2,198.9,18.3,616.1,435.5,0.887,0.959,29.3
S003,P0015,118.85,50.51,4.35,219.8,19.0,635.8,434.9,0.867,0.983,31.6
S003,P0016,105.95,45.64,5.44,198.6,23.7,569.5,394.5,0.883,0.977,30.7
S003,P0017,72.25,31.28,3.4,136.1,14.8,389.0,267.7,0.877,0.97,31.2
S003,P0018,73.63,31.52,3.91,137.2,17.0,394.9,274.7,0.865,0.971,30.4
S003,P0019,121.37,48.19,6.75,209.7,29.4,634.5,454.2,0.884,0.949,28.4
S003,P0020,108.6,38.49,5.94,167.5,25.9,547.6,406.0,0.907,0.964,25.9
S004,P0001,122.83,48.12,7.03,209.4,30.6,639.3,460.5,0.898,0.914,28.0
S004,P0002,122.53,52.66,7.84,229.2,34.1,658.0,463.0,0.849,0.928,29.6
S004,P0003,74.65,34.5,3.71,150.2,16.2,411.4,277.4,0.891,0.996,32.6
S004,P0004,123.29,50.16,8.64,218.3,37.6,649.8,469.1,0.885,0.994,27.8
S004,P0005,108.95,38.18,6.11,166.1,26.6,547.5,407.9,0.909,0.965,25.5
S004,P0006,121.11,49.39,7.87,214.9,34.3,638.8,458.1,0.856,0.928,28.3
S004,P0007,120.65,48.51,7.99,211.1,34.8,633.4,457.1,0.898,0.985,27.8
S004,P0008,75.08,34.4,3.89,149.7,16.9,412.5,279.7,0.881,0.924,32.2
S004,P0009,108.01,39.87,4.56,173.5,19.8,551.6,397.9,0.898,0.997,27.9
S004,P0010,120.28,47.74,8.36,207.8,36.4,628.7,457.4,0.877,0.928,27.2
S004,P0011,109.93,39.48,5.5,171.8,23.9,556.5,408.7,0.913,0.881,26.6
S004,P0012,96.04,39.2,5.55,170.6,24.2,506.7,360.3,0.896,0.982,28.9
S004,P0013,121.18,48.32,7.44,210.3,32.4,634.5,456.5,0.867,0.923,28.1
S004,P0014,74.07,32.86,4.08,143.0,17.8,402.2,277.0,0.892,0.935,31.1
S004,P0015,73.57,32.84,3.86,142.9,16.8,400.4,274.3,0.892,0.934,31.5
S004,P0016,71.62,31.91,3.39,138.9,14.7,389.5,265.4,0.887,0.914,31.9
S004,P0017,109.32,39.05,5.48,169.9,23.9,552.5,406.5,0.907,0.924,26.4
S004,P0018,71.25,31.17,3.98,135.7,17.3,385.0,266.7,0.876,0.985,30.7
S004,P0019,111.94,39.11,6.64,170.2,28.9,562.0,420.7,0.924,0.873,25.1
S004,P0020,73.13,32.71,3.89,142.4,16.9,398.3,272.9,0.873,0.974,31.5
S005,P0001,119.84,48.54,6.51,211.3,28.3,630.7,447.7,0.877,0.942,29.0
S005,P0002,95.65,39.83,7.49,173.3,32.6,508.1,367.4,0.881,0.869,27.7
S005,P0003,92.56,45.5,5.96,198.0,25.9,522.0,349.9,0.851,0.907,33.0
S005,P0004,123.82,49.07,10.11,213.6,44.0,646.9,477.4,0.876,0.901,26.2
S005,P0005,119.94,48.1,6.57,209.3,28.6,629.1,448.4,0.859,0.924,28.7
S005,P0006,123.54,48.41,6.62,210.7,28.8,643.1,461.2,0.865,0.965,28.3
S005,P0007,119.93,48.29,5.91,210.2,25.7,629.9,445.5,0.877,0.983,29.3
S005,P0008,122.56,50.24,8.44,218.6,36.7,647.6,465.7,0.883,0.932,28.1
S005,P0009,121.28,47.5,5.41,206.7,23.6,631.2,448.0,0.863,1.0,29.0
S005,P0010,118.11,48.27,10.33,210.0,44.9,623.4,458.3,0.891,0.953,26.5
S005,P0011,92.67,38.19,5.39,166.2,23.4,490.5,347.8,0.876,0.95,29.1
S005,P0012,74.47,32.37,3.39,140.9,14.8,401.5,275.4,0.874,0.961,31.4
S005,P0013,121.42,49.03,5.9,213.4,25.7,638.4,450.6,0.867,0.989,29.4
S005,P0014,74.43,31.59,3.65,137.5,15.9,398.0,276.4,0.872,0.965,30.6
S005,P0015,120.76,47.06,6.57,204.8,28.6,627.5,451.2,0.867,0.892,28.1
S005,P0016,94.18,47.65,5.27,207.4,22.9,537.0,352.6,0.84,0.968,34.3
S005,P0017,90.87,47.41,6.73,206.3,29.3,524.4,347.3,0.872,0.983,33.8
S005,P0018,122.45,46.26,5.46,201.3,23.7,629.9,452.3,0.919,0.845,28.2
S005,P0019,72.25,32.2,3.48,140.1,15.1,393.0,268.0,0.876,0.999,31.8
S005,P0020,91.37,45.05,5.73,196.0,25.0,515.8,344.7,0.825,0.902,33.2
