Store ID,Product ID,abc_class,price,expected_demand,service_target,allocation,current_inventory,recommended_order,service_fill_pct,holding_cost,stockout_penalty
S002,P0011,A,94.96,831.7,1040.5,1040,73,967,100.0,473.72,0.0
S003,P0019,A,55.66,849.6,1058.7,1059,108,951,100.0,282.51,0.0
S001,P0018,A,61.12,850.4,1067.1,1067,130,937,100.0,312.71,0.0
S002,P0010,A,89.41,855.5,1070.6,1071,143,928,100.0,458.9,0.0
S001,P0002,A,67.1,864.6,1060.8,1061,136,925,100.0,341.28,0.0
S005,P0008,A,63.1,857.9,1075.9,1076,154,922,100.0,325.51,0.0
S005,P0010,A,59.12,826.8,1036.2,1036,115,921,100.0,293.71,0.0
S005,P0009,A,95.85,849.0,1055.1,1055,136,919,100.0,484.85,0.0
S001,P0009,A,90.35,849.8,1042.5,1042,128,914,100.0,451.57,0.0
S002,P0009,A,62.55,845.0,1060.9,1061,153,908,100.0,318.16,0.0
S003,P0003,A,87.91,765.2,965.7,966,95,871,100.0,407.03,0.0
S002,P0016,A,85.9,753.4,919.7,920,88,832,100.0,378.78,0.0
S002,P0006,A,63.97,759.5,928.9,929,98,831,100.0,284.9,0.0
S003,P0020,A,72.43,760.2,927.2,927,113,814,100.0,321.99,0.0
S005,P0006,A,59.86,864.8,1074.8,1075,266,809,100.0,308.48,0.0
S005,P0007,A,82.25,839.5,1049.0,1049,261,788,100.0,413.7,0.0
S003,P0011,A,119.77,744.7,929.6,930,143,787,100.0,533.84,0.0
S003,P0016,A,96.49,741.6,939.7,940,161,779,100.0,434.72,0.0
S004,P0017,A,95.21,765.2,934.7,935,166,769,100.0,426.69,0.0
S003,P0008,A,112.52,761.9,928.9,929,170,759,100.0,501.13,0.0
S003,P0002,A,56.7,860.9,1075.2,1075,327,748,100.0,292.31,0.0
S004,P0005,A,71.12,762.6,928.3,928,184,744,100.0,316.53,0.0
S003,P0014,A,94.46,834.5,1032.8,1033,350,683,100.0,467.73,0.0
S001,P0012,A,82.72,841.7,1053.2,1053,396,657,100.0,417.67,0.0
S004,P0004,A,53.78,863.0,1080.7,1081,439,642,100.0,278.65,0.0
S004,P0012,A,107.75,672.3,842.4,842,201,641,100.0,435.17,0.0
S002,P0003,A,80.34,830.1,1027.6,1028,388,640,100.0,395.83,0.01
S003,P0015,A,97.69,832.0,1051.1,1051,413,638,100.0,492.33,0.0
S001,P0003,A,56.0,858.6,1046.8,1047,434,613,100.0,281.04,0.0
S002,P0019,A,85.26,761.9,929.8,930,339,591,100.0,380.08,0.0
S001,P0004,A,100.21,653.5,821.8,822,241,581,100.0,394.87,0.0
S005,P0011,A,74.12,648.7,814.4,814,269,545,100.0,289.4,0.0
S005,P0019,A,128.91,505.8,645.5,645,125,520,100.0,398.92,0.0
S002,P0001,A,81.12,844.8,1045.6,1046,569,477,100.0,406.67,0.0
S004,P0009,A,112.05,756.1,929.1,929,472,457,100.0,499.11,0.0
S001,P0014,A,72.3,823.4,1033.6,1034,660,374,100.0,358.3,0.0
S002,P0005,A,86.23,675.4,850.9,851,552,299,100.0,351.8,0.0
S004,P0003,A,129.64,522.6,672.2,447,153,294,66.5,277.95,43762.89
S005,P0012,A,120.34,521.3,661.7,662,375,287,100.0,381.79,0.0
S003,P0013,A,73.06,850.2,1062.6,1063,781,282,100.0,372.21,0.0
S005,P0013,A,74.76,849.9,1062.7,1063,792,271,100.0,380.92,0.01
S004,P0020,A,121.84,511.9,653.8,327,79,248,50.0,190.98,59749.67
S004,P0008,A,92.12,525.6,674.8,337,92,245,50.0,149.03,46624.22
S004,P0018,A,148.69,498.8,634.0,317,97,220,50.0,225.99,70703.59
S001,P0019,A,104.95,512.9,655.6,328,110,218,50.0,164.95,51606.37
S005,P0014,A,155.14,521.0,658.1,329,161,168,50.0,244.75,76571.68
S004,P0016,A,109.33,501.3,639.8,320,153,167,50.0,167.68,52460.15
S002,P0014,A,115.11,648.2,811.0,811,676,135,100.0,447.61,0.0
S001,P0011,A,150.78,515.8,660.3,330,204,126,50.0,238.66,74667.03
S001,P0005,A,59.28,842.3,1047.3,1047,946,101,100.0,297.65,0.0
S003,P0017,A,112.6,505.8,641.5,321,239,82,50.0,173.15,54171.44
S003,P0012,A,91.59,515.6,654.1,327,286,41,50.0,143.62,44932.94
S004,P0015,A,90.12,515.0,657.5,329,292,37,50.0,142.04,44437.7
S004,P0014,A,155.98,518.5,661.1,331,379,0,50.0,247.19,77334.29
S003,P0018,A,125.36,515.4,652.2,652,652,0,100.0,392.0,0.0
S002,P0020,A,120.26,509.0,647.4,324,332,0,50.0,186.66,58396.51
S001,P0010,A,118.75,508.3,646.0,323,518,0,50.0,183.89,57531.15
S001,P0020,A,110.75,509.7,648.6,324,333,0,50.0,172.21,53876.38
S002,P0015,A,66.18,746.1,915.2,915,1039,0,100.0,290.36,0.0
S002,P0008,B,25.87,849.9,1061.1,531,85,446,50.0,65.8,12351.92
S003,P0010,B,39.2,847.2,1054.4,527,111,416,50.0,99.09,18599.93
S003,P0009,B,54.44,848.7,1053.6,527,123,404,50.0,137.51,25812.8
S004,P0006,B,36.64,847.8,1062.1,531,134,397,50.0,93.29,17511.51
S002,P0004,B,41.76,832.1,1042.6,521,129,392,50.0,104.36,19590.67
S002,P0018,B,26.81,739.3,900.3,450,61,389,50.0,57.86,10861.27
S001,P0013,B,30.72,646.9,852.6,426,91,335,50.0,62.8,11788.1
S001,P0016,B,39.04,855.1,1074.7,537,225,312,50.0,100.57,18878.47
S005,P0017,B,34.62,636.1,841.8,421,137,284,50.0,69.87,13115.24
S004,P0010,B,25.87,842.0,1049.1,525,247,278,50.0,65.05,12211.43
S003,P0006,B,36.29,649.9,857.0,429,156,273,50.0,74.56,13996.68
S005,P0002,B,38.74,669.6,842.4,421,156,265,50.0,78.24,14686.31
S004,P0019,B,58.85,783.6,953.3,477,219,258,50.0,134.48,25244.32
S001,P0008,B,41.73,651.6,817.9,409,162,247,50.0,81.81,15357.68
S005,P0016,B,32.53,659.3,866.0,433,233,200,50.0,67.54,12677.36
S001,P0007,B,24.79,844.3,1055.2,528,476,52,50.0,62.7,11770.42
S001,P0001,B,66.38,647.3,801.2,401,383,18,50.0,127.48,23930.71
S005,P0015,B,50.03,845.3,1049.5,525,520,5,50.0,125.88,23629.94
S004,P0011,B,58.45,769.5,940.8,470,596,0,50.0,131.84,24747.78
S002,P0012,B,63.63,648.6,811.3,406,423,0,50.0,123.76,23230.96
S004,P0007,B,28.72,844.6,1055.0,528,574,0,50.0,72.65,13636.82
S001,P0006,B,37.8,639.7,840.8,420,436,0,50.0,76.2,14304.26
S002,P0002,B,30.69,654.9,858.4,429,515,0,50.0,63.15,11853.25
S003,P0004,B,22.98,843.1,1050.4,525,552,0,50.0,57.87,10863.05
S002,P0013,C,22.39,860.1,1079.4,540,125,415,50.0,57.93,6343.83
S005,P0004,C,7.81,866.7,1079.7,540,141,399,50.0,20.21,2212.68
S003,P0007,C,16.36,850.4,1051.2,526,187,339,50.0,41.23,4514.3
S001,P0015,C,14.75,635.8,838.7,419,80,339,50.0,29.66,3247.4
S005,P0018,C,22.11,857.2,1057.9,529,197,332,50.0,56.08,6140.38
S005,P0020,C,28.47,639.6,835.1,418,126,292,50.0,57.0,6241.34
S004,P0002,C,20.36,857.7,1086.2,543,273,270,50.0,53.02,5805.93
S005,P0001,C,11.99,838.9,1049.5,525,267,258,50.0,30.17,3303.84
S001,P0017,C,21.03,659.2,865.7,433,186,247,50.0,43.64,4778.83
S005,P0005,C,16.24,839.6,1048.3,524,288,236,50.0,40.82,4470.03
S002,P0017,C,19.35,647.4,847.0,424,204,220,50.0,39.29,4301.9
S005,P0003,C,27.95,647.9,845.3,423,212,211,50.0,56.63,6201.4
S003,P0001,C,15.46,635.2,825.4,413,207,206,50.0,30.59,3349.96
S004,P0001,C,11.15,859.8,1068.6,534,342,192,50.0,28.56,3127.56
S004,P0013,C,20.58,848.3,1057.9,529,389,140,50.0,52.2,5716.23
S002,P0007,C,26.25,638.8,841.5,421,414,7,50.0,52.95,5797.73
S003,P0005,C,20.87,638.5,840.3,420,782,0,50.0,42.04,4603.54
